time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,move_measure,school_stability,number,percentage
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,No special educational need,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,No special educational need,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,No special educational need,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,No special educational need,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,SEN support,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,SEN support,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,SEN support,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,SEN support,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,SEN support,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,SEN support,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Total children,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Total children,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Total children,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Total children,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Total children,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Total children,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Unknown,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Unknown,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Unknown,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Unknown,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Unknown,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN,Unknown,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Autistic Spectrum Disorder,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Autistic Spectrum Disorder,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Autistic Spectrum Disorder,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Autistic Spectrum Disorder,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Autistic Spectrum Disorder,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Autistic Spectrum Disorder,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Hearing Impairment,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Hearing Impairment,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Hearing Impairment,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Hearing Impairment,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Hearing Impairment,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Hearing Impairment,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Moderate Learning Difficulty,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Moderate Learning Difficulty,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Moderate Learning Difficulty,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Moderate Learning Difficulty,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Moderate Learning Difficulty,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Moderate Learning Difficulty,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Multi-Sensory Impairment,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Multi-Sensory Impairment,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Multi-Sensory Impairment,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Multi-Sensory Impairment,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Multi-Sensory Impairment,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Multi-Sensory Impairment,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Other Difficulty/Disability,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Other Difficulty/Disability,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Other Difficulty/Disability,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Other Difficulty/Disability,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Other Difficulty/Disability,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Other Difficulty/Disability,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Physical Disability,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Physical Disability,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Physical Disability,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Physical Disability,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Physical Disability,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Physical Disability,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Profound & Multiple Learning Difficulty,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Profound & Multiple Learning Difficulty,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Profound & Multiple Learning Difficulty,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Profound & Multiple Learning Difficulty,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Profound & Multiple Learning Difficulty,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Profound & Multiple Learning Difficulty,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,SEN support but no specialist assessment of type of need,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,SEN support but no specialist assessment of type of need,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,SEN support but no specialist assessment of type of need,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,SEN support but no specialist assessment of type of need,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,SEN support but no specialist assessment of type of need,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,SEN support but no specialist assessment of type of need,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Severe Learning Difficulty,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Severe Learning Difficulty,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Severe Learning Difficulty,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Severe Learning Difficulty,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Severe Learning Difficulty,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Severe Learning Difficulty,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Social, Emotional and Mental Health",Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Social, Emotional and Mental Health",Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Social, Emotional and Mental Health",Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Social, Emotional and Mental Health",Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Social, Emotional and Mental Health",Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Social, Emotional and Mental Health",Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Specific Learning Difficulty,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Specific Learning Difficulty,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Specific Learning Difficulty,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Specific Learning Difficulty,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Specific Learning Difficulty,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Specific Learning Difficulty,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Speech, Language and Communication Needs",Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Speech, Language and Communication Needs",Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Speech, Language and Communication Needs",Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Speech, Language and Communication Needs",Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Speech, Language and Communication Needs",Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,"Speech, Language and Communication Needs",Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Total children,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Total children,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Total children,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Total children,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Total children,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Total children,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Vision Impairment,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Vision Impairment,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Vision Impairment,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Vision Impairment,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Vision Impairment,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,SEN primary need,Vision Impairment,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Any moves,With one move during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Any moves,With three or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Any moves,With two moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Mid-year moves,With one mid-year move during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Mid-year moves,With three or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Total children,Total children,Mid-year moves,With two mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Total children,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Total children,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Total children,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Total children,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Total children,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Total children,Mid-year moves,With one or more mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Any moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Any moves,With no moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Any moves,With one or more moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Mid-year moves,Total children,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Mid-year moves,With no mid-year moves during the year,x,x
2020,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Mid-year moves,With one or more mid-year moves during the year,x,x
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,Total children,25570,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,With no moves during the year,22390,88
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,With one or more moves during the year,3190,12
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,Total children,25570,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,With no mid-year moves during the year,23280,91
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,With one or more mid-year moves during the year,2290,9
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,Total children,8740,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,With no moves during the year,8470,97
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,With one or more moves during the year,280,3
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,Total children,8740,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,With no mid-year moves during the year,8520,97
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,With one or more mid-year moves during the year,230,3
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,Total children,14210,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,With no moves during the year,11360,80
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,With one or more moves during the year,2850,20
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,Total children,14210,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,With no mid-year moves during the year,12240,86
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,With one or more mid-year moves during the year,1960,14
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,Total children,48520,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,With no moves during the year,42210,87
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,With one or more moves during the year,6310,13
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,Total children,48520,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,With no mid-year moves during the year,44040,91
2019,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,With one or more mid-year moves during the year,4480,9
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,Total children,37970,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,With no moves during the year,32940,87
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,With one or more moves during the year,5030,13
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,Total children,37970,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,With no mid-year moves during the year,34420,91
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,With one or more mid-year moves during the year,3550,9
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,Total children,35830,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,With no moves during the year,31080,87
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,With one or more moves during the year,4750,13
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,Total children,35830,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,With no mid-year moves during the year,32480,91
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,With one or more mid-year moves during the year,3360,9
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,Total children,130,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,With no moves during the year,110,86
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,With one or more moves during the year,20,14
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,Total children,130,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,With no mid-year moves during the year,120,92
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,With one or more mid-year moves during the year,10,8
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,Total children,70,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,With no moves during the year,60,76
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,With one or more moves during the year,20,24
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,Total children,70,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,With no mid-year moves during the year,60,85
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,With one or more mid-year moves during the year,10,15
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,Total children,290,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,With no moves during the year,240,84
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,With one or more moves during the year,50,16
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,Total children,290,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,With no mid-year moves during the year,260,89
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,With one or more mid-year moves during the year,30,11
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,Total children,1650,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,With no moves during the year,1460,88
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,With one or more moves during the year,200,12
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,Total children,1650,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,With no mid-year moves during the year,1510,91
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,With one or more mid-year moves during the year,140,9
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,Total children,4820,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,With no moves during the year,4180,87
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,With one or more moves during the year,640,13
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,Total children,4820,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,With no mid-year moves during the year,4350,90
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,With one or more mid-year moves during the year,460,10
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,Total children,1670,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,With no moves during the year,1460,87
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,With one or more moves during the year,220,13
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,Total children,1670,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,With no mid-year moves during the year,1510,90
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,With one or more mid-year moves during the year,160,10
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,Total children,550,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,With no moves during the year,470,87
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,With one or more moves during the year,70,13
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,Total children,550,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,With no mid-year moves during the year,500,91
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,With one or more mid-year moves during the year,50,9
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,Total children,1050,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,With no moves during the year,900,85
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,With one or more moves during the year,150,15
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,Total children,1050,100
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,With no mid-year moves during the year,940,90
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,With one or more mid-year moves during the year,110,10
2019,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Any moves,Total children,1550,100
