URN,Provision type,Ofsted Region,Government Office Region,Local authority,Parliamentary constituency,Sector,Places,First effective date (that the provider became active),First effective date (that the provider became resigned),First effective date (that the provider closed),First effective date (that the provider became cancelled),Flag for appealed,Joiner status,Leaver status,Registration status (as at @startdate),Registration status (as at @enddate),Inspectorate (as at @startdate),Inspectorate (as at @enddate),Name
SC397562,Children's home,East Midlands,East Midlands,Northamptonshire,Northampton North,Private,5,28/07/2009,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC398315,Children's home,West Midlands,West Midlands,Herefordshire,North Herefordshire,Private,3,28/07/2009,24/04/2017,24/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC398390,Children's home,West Midlands,West Midlands,Telford and Wrekin,Telford,Private,1,21/07/2009,01/06/2017,01/06/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC398392,Children's home,West Midlands,West Midlands,Shropshire,Ludlow,Private,2,21/07/2009,13/06/2017,13/06/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC400107,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Sunderland Central,Voluntary,4,12/01/2010,04/08/2017,04/08/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC400212,Children's home,South West,South West,Somerset,Taunton Deane,Private,3,07/10/2009,20/08/2017,20/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC401603,Residential special school (registered as a children's home),North West,North West,Lancashire,Preston,Private,15,08/12/2009,25/09/2017,25/09/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC403907,Children's home,East Midlands,East Midlands,Northamptonshire,Daventry,Private,5,18/11/2009,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC404119,Children's home,East Midlands,East Midlands,Nottinghamshire,Gedling,Private,1,08/02/2010,01/09/2017,01/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC405379,Children's home,East of England,East of England,Norfolk,South Norfolk,Private,8,21/12/2009,23/08/2017,23/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC408263,Children's home,East Midlands,East Midlands,Northamptonshire,Northampton North,Private,5,20/04/2010,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC409084,Independent Fostering Agency,North West,North West,Liverpool,"Liverpool, Walton",Private,,21/05/2010,31/12/2017,31/12/2017,,???,,Leaver,Active,Resigned,,,Able Fostering Agency
SC416733,Children's home,East of England,East of England,Norfolk,Great Yarmouth,Voluntary,3,19/11/2010,21/06/2017,21/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC420066,Children's home,North West,North West,Trafford,Stretford and Urmston,Private,8,02/12/2010,30/11/2017,30/11/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC420587,Children's home,"North East, Yorkshire and the Humber",North East,South Tyneside,South Shields,Voluntary,4,22/03/2011,28/09/2017,28/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC421995,Children's home,"North East, Yorkshire and the Humber",North East,Darlington,Darlington,Private,4,10/12/2010,31/10/2017,31/10/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC426483,Adoption Support Agency,East of England,East of England,Suffolk,Central Suffolk and North Ipswich,Private,,28/04/2011,27/04/2017,27/04/2017,,???,,Leaver,Active,Resigned,,,Adoption Support - Intermediary
SC429242,Children's home,East of England,East of England,Bedford,Bedford,Private,5,19/05/2011,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC433647,Independent Fostering Agency,South West,South West,Bristol,Bristol East,Voluntary,,29/06/2011,30/05/2017,30/05/2017,,???,,Leaver,Active,Resigned,,,"Barnardo's Fostering Service, South West"
SC436551,Children's home,West Midlands,West Midlands,Staffordshire,Stafford,Private,3,23/10/2011,12/03/2018,12/03/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC443544,Children's home,East Midlands,East Midlands,Nottingham,Nottingham East,Private,3,30/01/2012,26/05/2017,26/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC443549,Children's home,East Midlands,East Midlands,Nottinghamshire,Rushcliffe,Private,3,30/01/2012,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC445174,Children's home,North West,North West,Cheshire East,Macclesfield,Voluntary,4,15/06/2012,30/06/2017,30/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC447742,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Hall Green",Private,3,11/12/2012,21/07/2017,21/07/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC452385,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Private,3,04/02/2013,08/08/2017,08/08/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC456726,Children's home,South West,South West,Devon,Central Devon,Private,3,14/03/2013,18/02/2018,18/02/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC458025,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central,Local Authority,2,09/01/2013,16/06/2017,16/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC459255,Children's home,East Midlands,East Midlands,Nottingham,Nottingham East,Private,6,04/02/2013,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC460424,Children's home,London,London,Brent,Brent North,Private,4,30/04/2013,12/09/2017,12/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC461787,Children's home,North West,North West,Halton,Halton,Private,4,28/03/2013,27/04/2017,27/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC464497,Independent Fostering Agency,West Midlands,West Midlands,Worcestershire,West Worcestershire,Private,,02/07/2013,22/12/2017,22/12/2017,,???,,Leaver,Active,Resigned,,,Foundation Fostering
SC464650,Children's home,North West,North West,Sefton,Southport,Private,2,21/06/2013,04/04/2017,04/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC465925,Children's home,South East,South East,East Sussex,Lewes,Private,6,23/07/2013,01/06/2017,01/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC466312,Independent Fostering Agency,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Stockton South,Private,,19/08/2013,19/05/2017,19/05/2017,,???,,Leaver,Active,Resigned,,,A1 Foster Care
SC469411,Children's home,North West,North West,Bury,Bury North,Private,4,27/11/2013,27/10/2017,27/10/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC472114,Children's home,North West,North West,Sefton,Sefton Central,Private,2,29/04/2014,20/02/2017,20/02/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC472275,Children's home,East Midlands,East Midlands,Northamptonshire,South Northamptonshire,Private,5,20/03/2014,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC474863,Children's home,South East,South East,Oxfordshire,Banbury,Private,5,14/05/2014,26/05/2017,26/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC476185,Residential special school (registered as a children's home),East Midlands,East Midlands,Lincolnshire,Sleaford and North Hykeham,Private,14,27/06/2014,18/05/2017,18/05/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC476259,Children's home,West Midlands,West Midlands,Shropshire,Ludlow,Private,4,20/06/2014,08/12/2017,08/12/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC476401,Children's home,West Midlands,West Midlands,Worcestershire,West Worcestershire,Private,5,25/04/2014,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC476748,Children's home,South East,South East,West Sussex,East Worthing and Shoreham,Private,4,02/05/2014,14/09/2017,14/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC477121,Children's home,West Midlands,West Midlands,Worcestershire,Mid Worcestershire,Private,3,29/04/2014,06/01/2018,06/01/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC477151,Children's home,London,London,Lewisham,Lewisham East,Voluntary,5,20/05/2015,31/08/2017,31/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC477191,Children's home,East of England,East of England,Central Bedfordshire,South West Bedfordshire,Private,4,23/07/2014,06/10/2017,06/10/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC479070,Residential special school (registered as a children's home),South East,South East,Oxfordshire,Banbury,Private,45,21/08/2014,31/07/2017,31/07/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC479645,Children's home,East of England,East of England,Suffolk,Waveney,Private,6,09/12/2015,01/02/2018,01/02/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC479664,Children's home,South East,South East,West Sussex,Chichester,Private,3,01/08/2014,07/09/2017,07/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC480236,Children's home,North West,North West,Lancashire,Blackpool North and Cleveleys,Private,6,30/10/2014,13/09/2017,13/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC480873,Independent Fostering Agency,"North East, Yorkshire and the Humber",North East,Durham,Sedgefield,Private,,03/12/2014,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,Fostering Outcomes
SC481294,Children's home,West Midlands,West Midlands,Staffordshire,Stafford,Private,3,01/10/2014,01/04/2017,01/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC481443,Children's home,East Midlands,East Midlands,Derby,Derby North,Private,5,24/10/2014,31/07/2017,31/07/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC482298,Residential special school (registered as a children's home),West Midlands,West Midlands,Staffordshire,Lichfield,Private,21,12/10/2014,11/07/2017,11/07/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC482413,Children's home,East of England,East of England,Cambridgeshire,North East Cambridgeshire,Private,16,18/02/2015,31/05/2017,31/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC482938,Boarding School,South East,South East,West Sussex,Chichester,Academy,135,12/09/2014,31/10/2017,31/10/2017,,???,,Leaver,Active,Resigned,Unknown,Unknown,Durand Academy
SC483781,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Bradford South,Voluntary,6,24/03/2015,07/04/2017,07/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC485321,Children's home,East Midlands,East Midlands,Derbyshire,Chesterfield,Private,5,09/03/2015,26/05/2017,26/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC485331,Children's home,South West,South West,South Gloucestershire,Kingswood,Private,4,01/07/2015,13/10/2017,13/10/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC485332,Children's home,North West,North West,Wigan,Wigan,Private,2,16/03/2015,27/10/2017,27/10/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC485604,Children's home,London,London,Hillingdon,"Ruislip, Northwood and Pinner",Voluntary,12,05/02/2015,01/04/2017,01/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC485907,Children's home,East of England,East of England,Norfolk,North Norfolk,Private,1,20/03/2015,10/08/2017,10/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC486754,Children's home,London,London,Redbridge,Ilford South,Voluntary,4,30/06/2015,05/12/2017,05/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC488406,Children's home,West Midlands,West Midlands,Wolverhampton,Wolverhampton South West,Private,3,15/09/2015,21/03/2018,21/03/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC488710,Children's home,West Midlands,West Midlands,Telford and Wrekin,Telford,Private,2,10/07/2015,01/11/2017,01/11/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC489398,Boarding School,South West,South West,Bristol,Bristol West,Private,97,24/03/2015,31/07/2017,31/07/2017,,???,,Leaver,Active,Resigned,SIS,SIS,Bristol Steiner School
SC489547,Children's home,East of England,East of England,Norfolk,Mid Norfolk,Private,3,16/11/2015,16/03/2017,16/03/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC490025,Children's home,South East,South East,Slough,Slough,Private,4,10/07/2015,,26/03/2018,26/03/2018,???,,Leaver,Active,Cancelled,,,REDACTED
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
