URN,Provision Type,LA,Sector,GOR,Max/Estimated Places
SC367941,Independent Fostering Agency,Devon,Private,South West,0
SC394479,Independent Fostering Agency,Devon,Voluntary,South West,0
SC061740,Independent Fostering Agency,Gloucestershire,Private,South West,0
SC475463,Independent Fostering Agency,Gloucestershire,Private,South West,0
SC416290,Independent Fostering Agency,Herefordshire,Private,West Midlands,0
SC037797,Independent Fostering Agency,Lancashire,Voluntary,North West,0
SC382809,Independent Fostering Agency,Milton Keynes,Private,South East,0
SC033794,Independent Fostering Agency,Northamptonshire,Private,East Midlands,0
SC043094,Independent Fostering Agency,Northamptonshire,Voluntary,East Midlands,0
SC067229,Independent Fostering Agency,Southend on Sea,Private,East of England,0
SC058759,Independent Fostering Agency,Stockport,Private,North West,0
SC434859,Children's Home,Manchester,Private,North West,6
SC472680,Children's Home,Manchester,Private,North West,5
SC033629,Children's Home,Newcastle,Local Authority,North East,6
SC472795,Children's Home,Newcastle,Private,North East,5
SC450045,Children's Home,Norfolk,Local Authority,East of England,6
SC065792,Children's Home,Norfolk,Voluntary,East of England,6
SC447768,Children's Home,North Somerset,Private,South West,3
SC408072,Children's Home,North Tyneside,Local Authority,North East,4
SC034205,Children's Home,North Yorkshire,Local Authority,Yorkshire and The Humber,3
SC475703,Children's Home,North Yorkshire,Private,Yorkshire and The Humber,8
SC465257,Children's Home,Northamptonshire,Health Authority,East Midlands,12
SC363385,Children's Home,Northamptonshire,Private,East Midlands,4
SC456719,Children's Home,Northamptonshire,Private,East Midlands,6
SC415548,Children's Home,Northumberland,Private,North East,1
SC034900,Children's Home,Nottingham City,Local Authority,East Midlands,11
SC424351,Children's Home,Nottingham City,Local Authority,East Midlands,2
SC457500,Children's Home,Nottingham City,Private,East Midlands,6
SC462148,Children's Home,Nottingham City,Private,East Midlands,2
SC444681,Children's Home,Nottingham City,Voluntary,East Midlands,5
SC392712,Children's Home,Nottinghamshire,Private,East Midlands,2
SC035339,Children's Home,Oldham,Local Authority,North West,6
SC067899,Children's Home,Oldham,Private,North West,7
SC474863,Children's Home,Oxfordshire,Private,South East,5
SC025940,Children's Home,Redbridge,Voluntary,London,4
SC062263,Children's Home,Rochdale,Private,North West,1
SC442864,Children's Home,Rochdale,Private,North West,2
SC477939,Children's Home,Rochdale,Private,North West,2
SC369339,Children's Home,Rotherham,Local Authority,Yorkshire and The Humber,7
SC473631,Children's Home,Rotherham,Private,Yorkshire and The Humber,6
SC386936,Children's Home,Salford,Private,North West,6
SC437486,Children's Home,Sandwell,Private,West Midlands,5
SC470284,Children's Home,Sandwell,Private,West Midlands,3
SC058622,Children's Home,Sefton,Private,North West,3
SC472480,Children's Home,Sefton,Private,North West,3
SC473475,Children's Home,Sefton,Private,North West,5
SC020607,Children's Home,Shropshire,Private,West Midlands,3
SC366090,Children's Home,Shropshire,Private,West Midlands,2
SC372617,Children's Home,Shropshire,Private,West Midlands,1
SC398391,Children's Home,Shropshire,Private,West Midlands,3
SC398393,Children's Home,Shropshire,Private,West Midlands,2
SC476262,Children's Home,Shropshire,Private,West Midlands,5
SC020675,Children's Home,Shropshire,Voluntary,West Midlands,4
SC020682,Children's Home,Shropshire,Voluntary,West Midlands,7
SC010700,Children's Home,Enfield,Private,London,3
SC050392,Residential Special School,East Sussex,Local Authority,South East,12
SC050390,Residential Special School,East Sussex,Voluntary,South East,130
SC012456,Residential Special School,Hampshire,Local Authority,South East,18
SC023679,Residential Special School,Kent,Voluntary,South East,180
SC024060,Residential Special School,Kent,Voluntary,South East,20
SC042897,Residential Special School,North Tyneside,Voluntary,North East,17
SC012962,Residential Special School,Northamptonshire,Voluntary,East Midlands,23
SC069231,Residential Special School,Rutland,Private,East Midlands,80
SC042132,Residential Special School,Wandsworth,Local Authority,London,14
SC048552,Residential special school (>295 days/year),Cumbria,Private,North West,50
SC020193,Residential special school (>295 days/year),Derbyshire,Private,East Midlands,25
SC463558,Residential special school (>295 days/year),Hampshire,Private,South East,11
SC383187,Residential special school (>295 days/year),Milton Keynes,Local Authority,South East,31
SC063259,Residential special school (>295 days/year),Norfolk,Private,East of England,8
SC449331,Residential special school (>295 days/year),South Gloucestershire,Voluntary,South West,6
SC069336,Residential special school (>295 days/year),West Berkshire (Newbury),Voluntary,South East,76
SC046524,Secure Children's Home,Sheffield,Local Authority,Yorkshire and The Humber,8
SC022448,Secure Children's Home,St. Helens,Voluntary,North West,12
SC049020,Voluntary Adoption Agency,Durham,Voluntary,North East,0
SC067760,Voluntary Adoption Agency,Islington,Voluntary,London,0
SC048438,Voluntary Adoption Agency,Lancashire,Voluntary,North West,0
SC358638,Children's Home,Stoke on Trent,Private,West Midlands,1
SC047894,Children's Home,Suffolk,Private,East of England,4
SC069178,Children's Home,Suffolk,Private,East of England,6
SC429702,Children's Home,Suffolk,Private,East of England,4
SC024376,Children's Home,Suffolk,Voluntary,East of England,9
SC044026,Children's Home,Tameside,Voluntary,North West,5
SC398386,Children's Home,Telford & Wrekin,Private,West Midlands,3
SC355755,Children's Home,Wakefield,Private,Yorkshire and The Humber,1
SC371553,Children's Home,Wakefield,Private,Yorkshire and The Humber,3
SC066214,Children's Home,Walsall,Local Authority,West Midlands,6
SC464762,Children's Home,Walsall,Local Authority,West Midlands,6
SC400360,Children's Home,Wandsworth,Voluntary,London,8
SC444792,Children's Home,Warrington,Local Authority,North West,2
SC456942,Children's Home,Warrington,Private,North West,1
SC476249,Children's Home,Warwickshire,Private,West Midlands,5
SC473329,Children's Home,West Berkshire (Newbury),Private,South East,4
SC037454,Children's Home,West Sussex,Local Authority,South East,5
SC362972,Children's Home,West Sussex,Private,South East,6
SC417371,Children's Home,West Sussex,Private,South East,5
SC359808,Children's Home,Wiltshire,Voluntary,South West,5
SC384687,Children's Home,Wiltshire,Voluntary,South West,5
SC061062,Children's Home,Wirral,Private,North West,3
SC436992,Children's Home,Wirral,Private,North West,3
SC030713,Children's Home,Wokingham,Local Authority,South East,5
SC041911,Further Education College,Central Bedfordshire,Voluntary,East of England,65
SC046376,Further Education College,Dudley,Local Authority,West Midlands,119
SC041633,Further Education College,Somerset,Private,South West,3
SC034225,Further Education College,Warwickshire,Voluntary,West Midlands,129
SC457784,Independent Fostering Agency,Birmingham,Private,West Midlands,0
SC031585,Independent Fostering Agency,Bolton,Private,North West,0
SC451751,Independent Fostering Agency,Brent,Private,London,0
SC038012,Independent Fostering Agency,North Somerset,Private,South West,0
SC406245,Independent Fostering Agency,Croydon,Private,London,0
SC062487,Independent Fostering Agency,Devon,Private,South West,0
SC413428,Independent Fostering Agency,Durham,Private,North East,0
SC033739,Independent Fostering Agency,Essex,Voluntary,East of England,0
SC477622,Independent Fostering Agency,Hampshire,Voluntary,South East,0
SC061984,Independent Fostering Agency,Harrow,Private,London,0
SC454491,Independent Fostering Agency,Bromley,Private,London,0
SC038534,Independent Fostering Agency,Kent,Voluntary,South East,0
SC062080,Independent Fostering Agency,Kent,Voluntary,South East,0
SC040580,Independent Fostering Agency,Liverpool,Voluntary,North West,0
SC398706,Independent Fostering Agency,Luton,Private,East of England,0
SC037372,Independent Fostering Agency,Merton,Voluntary,London,0
SC453181,Independent Fostering Agency,Newham,Private,London,0
SC411748,Independent Fostering Agency,Salford,Voluntary,North West,0
SC390755,Independent Fostering Agency,Slough,Voluntary,South East,0
SC440078,Independent Fostering Agency,Staffordshire,Private,West Midlands,0
SC065958,Independent Fostering Agency,Sutton,Private,London,0
SC040934,Independent Fostering Agency,Warwickshire,Private,West Midlands,0
SC437546,Independent Fostering Agency,West Sussex,Private,South East,0
SC036261,Independent Fostering Agency,Wiltshire,Private,South West,0
SC045338,Independent Fostering Agency,Worcestershire,Private,West Midlands,0
SC412598,Residential Family Centre,Birmingham,Voluntary,West Midlands,7
SC440001,Residential Family Centre,Lancashire,Private,North West,7
SC477725,Residential Family Centre,Merton,Private,London,7
SC470687,Residential Family Centre,Redbridge,Private,London,7
SC050043,Residential Family Centre,Sheffield,Private,Yorkshire and The Humber,12
SC017171,Residential Special School,Birmingham,Local Authority,West Midlands,10
SC023098,Residential Special School,Buckinghamshire,Local Authority,South East,8
SC003895,Residential Special School,Devon,Local Authority,South West,45
SC056408,Residential Special School,Hertfordshire,Local Authority,East of England,8
SC061727,Residential Special School,Lancashire,Private,North West,15
SC040724,Residential Special School,Liverpool,Voluntary,North West,50
SC038284,Residential Special School,Norfolk,Local Authority,East of England,26
SC042606,Residential Special School,Norfolk,Local Authority,East of England,26
SC038726,Residential Special School,Staffordshire,Local Authority,West Midlands,11
SC030110,Residential Special School,Stockton on Tees,Academy,North East,15
SC013925,Residential Special School,Surrey,Voluntary,South East,15
SC013926,Residential Special School,Surrey,Voluntary,South East,77
SC372592,Residential Special School,West Sussex,Private,South East,33
SC033268,Residential special school (>295 days/year),Cumbria,Private,North West,12
SC041666,Residential special school (>295 days/year),Derbyshire,Private,East Midlands,36
SC404130,Residential special school (>295 days/year),Devon,Private,South West,5
SC404993,Residential special school (>295 days/year),Dorset,Voluntary,South West,36
SC396813,Residential special school (>295 days/year),East Sussex,Voluntary,South East,50
SC035625,Residential special school (>295 days/year),Herefordshire,Private,West Midlands,30
SC399206,Residential special school (>295 days/year),Norfolk,Private,East of England,26
SC068410,Residential special school (>295 days/year),Warwickshire,Private,West Midlands,6
SC046276,Secure Children's Home,Devon,Local Authority,South West,10
SC035409,Secure Children's Home,Northumberland,Local Authority,North East,12
SC476782,Voluntary Adoption Agency,Cambridgeshire,Private,East of England,0
SC051838,Voluntary Adoption Agency,Essex,Voluntary,East of England,0
SC437835,Independent Fostering Agency,Suffolk,Private,East of England,0
SC035639,Independent Fostering Agency,Sutton,Voluntary,London,0
SC064113,Independent Fostering Agency,West Sussex,Private,South East,0
SC383539,Independent Fostering Agency,West Sussex,Voluntary,South East,0
SC037304,Independent Fostering Agency,Wolverhampton,Voluntary,West Midlands,0
SC034788,Independent Fostering Agency,Worcestershire,Private,West Midlands,0
SC383805,Independent Fostering Agency,Worcestershire,Private,West Midlands,0
SC384460,Independent Fostering Agency,Worcestershire,Private,West Midlands,0
SC393825,Residential Family Centre,Cornwall,Local Authority,South West,7
SC435330,Residential Family Centre,East Riding of Yorkshire,Private,Yorkshire and The Humber,7
SC477339,Residential Family Centre,Sefton,Private,North West,7
SC051886,Residential Family Centre,Worcestershire,Private,West Midlands,8
SC050400,Residential Special School,Brighton & Hove,Voluntary,South East,51
SC053319,Residential Special School,Cambridgeshire,Local Authority,East of England,17
SC053344,Residential Special School,"Derby, City of",Local Authority,East Midlands,24
SC022231,Residential Special School,Devon,Local Authority,South West,40
SC027798,Residential Special School,Ealing,Voluntary,London,25
SC050152,Residential Special School,East Sussex,Local Authority,South East,40
SC050366,Residential Special School,East Sussex,Voluntary,South East,16
SC018021,Residential Special School,Essex,Local Authority,East of England,40
SC027138,Residential Special School,Hillingdon,Private,London,35
SC051164,Residential Special School,Kent,Local Authority,South East,50
SC001831,Residential Special School,Leicestershire,Private,East Midlands,24
SC040720,Residential Special School,Liverpool,Voluntary,North West,6
SC007922,Residential Special School,North Yorkshire,Voluntary,Yorkshire and The Humber,19
SC402858,Residential Special School,Nottinghamshire,Local Authority,East Midlands,4
SC003048,Residential Special School,Sheffield,Local Authority,Yorkshire and The Humber,20
SC038727,Residential Special School,Staffordshire,Local Authority,West Midlands,10
SC013882,Residential Special School,Surrey,Local Authority,South East,24
SC013937,Residential Special School,Surrey,Voluntary,South East,22
SC042656,Residential Special School,West Sussex,Local Authority,South East,12
SC015264,Residential special school (>295 days/year),Cambridgeshire,Voluntary,East of England,7
SC032838,Residential special school (>295 days/year),Cumbria,Private,North West,8
SC036528,Residential special school (>295 days/year),Devon,Private,South West,16
SC065443,Residential special school (>295 days/year),Devon,Voluntary,South West,37
SC472485,Residential special school (>295 days/year),Dorset,Private,South West,45
SC361167,Residential special school (>295 days/year),Shropshire,Private,West Midlands,22
SC448209,Residential special school (>295 days/year),Shropshire,Private,West Midlands,12
SC371267,Residential special school (>295 days/year),St. Helens,Voluntary,North West,36
SC028435,Residential special school (>295 days/year),Wiltshire,Private,South West,15
SC051816,Voluntary Adoption Agency,Bristol City,Voluntary,South West,0
SC384160,Voluntary Adoption Agency,Milton Keynes,Voluntary,South East,0
SC048470,Voluntary Adoption Agency,Nottinghamshire,Voluntary,East Midlands,0
SC015499,Children's Home,Southend on Sea,Private,East of England,6
SC061438,Children's Home,St. Helens,Private,North West,1
SC005041,Children's Home,Staffordshire,Private,West Midlands,10
SC005067,Children's Home,Staffordshire,Private,West Midlands,6
SC378181,Children's Home,Staffordshire,Private,West Midlands,2
SC454838,Children's Home,Staffordshire,Private,West Midlands,6
SC008485,Children's Home,Stockport,Private,North West,6
SC008492,Children's Home,Stockport,Private,North West,6
SC386837,Children's Home,Stockport,Private,North West,2
SC040583,Children's Home,Stockton on Tees,Local Authority,North East,3
SC381085,Children's Home,Stoke on Trent,Local Authority,West Midlands,2
SC062651,Children's Home,Suffolk,Private,East of England,4
SC032723,Children's Home,Sunderland,Local Authority,North East,7
SC045408,Children's Home,Surrey,Local Authority,South East,2
SC005589,Children's Home,Tameside,Private,North West,2
SC366343,Children's Home,Tameside,Private,North West,4
SC398381,Children's Home,Telford & Wrekin,Private,West Midlands,4
SC066549,Children's Home,Trafford,Local Authority,North West,2
SC387148,Children's Home,Trafford,Private,North West,5
SC066796,Children's Home,Wakefield,Local Authority,Yorkshire and The Humber,7
SC447930,Children's Home,Warrington,Local Authority,North West,2
SC371245,Children's Home,Warwickshire,Private,West Midlands,4
SC011185,Children's Home,West Berkshire (Newbury),Private,South East,7
SC037447,Children's Home,West Sussex,Local Authority,South East,16
SC014650,Children's Home,West Sussex,Private,South East,3
SC061795,Children's Home,West Sussex,Private,South East,6
SC364812,Children's Home,West Sussex,Private,South East,2
SC479664,Children's Home,West Sussex,Private,South East,3
SC477726,Children's Home,Wigan,Private,North West,2
SC383879,Children's Home,Wiltshire,Private,South West,1
SC457364,Children's Home,Wirral,Private,North West,2
SC457557,Children's Home,Wirral,Private,North West,2
SC444352,Children's Home,Wolverhampton,Private,West Midlands,4
SC391739,Children's Home,Worcestershire,Private,West Midlands,2
SC041159,Further Education College,Coventry,Private,West Midlands,35
SC050962,Further Education College,East Sussex,Voluntary,South East,192
SC046577,Further Education College,Gloucestershire,Private,South West,713
SC041700,Further Education College,Leicestershire,Voluntary,East Midlands,11
SC045168,Further Education College,Somerset,Local Authority,South West,28
SC045170,Further Education College,Somerset,Local Authority,South West,50
SC055725,Independent Fostering Agency,Cheshire East,Private,North West,0
SC067709,Independent Fostering Agency,Darlington,Private,North East,0
SC042759,Independent Fostering Agency,Durham,Voluntary,North East,0
SC402365,Independent Fostering Agency,Durham,Voluntary,North East,0
SC420507,Independent Fostering Agency,Kent,Voluntary,South East,0
SC358729,Independent Fostering Agency,Leeds,Private,Yorkshire and The Humber,0
SC053859,Independent Fostering Agency,Leicestershire,Private,East Midlands,0
SC036598,Independent Fostering Agency,Medway Towns,Voluntary,South East,0
SC008273,Children's Home,Stoke on Trent,Private,West Midlands,2
SC390434,Children's Home,Stoke on Trent,Private,West Midlands,2
SC426318,Children's Home,Stoke on Trent,Private,West Midlands,2
SC038761,Children's Home,Suffolk,Local Authority,East of England,6
SC430022,Children's Home,Suffolk,Local Authority,East of England,7
SC429754,Children's Home,Suffolk,Private,East of England,6
SC400107,Children's Home,Sunderland,Voluntary,North East,4
SC416136,Children's Home,Sunderland,Voluntary,North East,5
SC017611,Children's Home,Surrey,Private,South East,24
SC028505,Children's Home,Surrey,Private,South East,4
SC043814,Children's Home,Telford & Wrekin,Private,West Midlands,3
SC372621,Children's Home,Telford & Wrekin,Private,West Midlands,2
SC462450,Children's Home,Thurrock,Private,East of England,4
SC059853,Children's Home,Bolton,Local Authority,North West,6
SC009390,Children's Home,Bolton,Voluntary,North West,4
SC033506,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,4
SC059639,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,8
SC044880,Children's Home,Brighton & Hove,Local Authority,South East,8
SC417387,Children's Home,Brighton & Hove,Private,South East,2
SC367737,Children's Home,Bristol City,Private,South West,3
SC406513,Children's Home,Bristol City,Private,South West,4
SC424103,Children's Home,Buckinghamshire,Voluntary,South East,8
SC356864,Children's Home,Bury,Private,North West,2
SC034938,Children's Home,Cambridgeshire,Local Authority,East of England,4
SC457423,Children's Home,Central Bedfordshire,Voluntary,East of England,5
SC408513,Children's Home,Cheshire East,Private,North West,3
SC413177,Children's Home,Cheshire West and Chester,Local Authority,North West,4
SC368934,Children's Home,Cornwall,Local Authority,South West,21
SC025813,Children's Home,Croydon,Private,London,6
SC025871,Children's Home,Croydon,Private,London,7
SC391993,Children's Home,Darlington,Voluntary,North East,6
SC065730,Children's Home,"Derby, City of",Local Authority,East Midlands,10
SC038780,Children's Home,"Derby, City of",Private,East Midlands,4
SC480680,Children's Home,"Derby, City of",Private,East Midlands,4
SC035976,Children's Home,Derbyshire,Local Authority,East Midlands,4
SC020133,Children's Home,Derbyshire,Private,East Midlands,8
SC481447,Children's Home,Doncaster,Private,Yorkshire and The Humber,5
SC470479,Children's Home,Dorset,Private,South West,6
SC450992,Children's Home,Dudley,Private,West Midlands,6
SC035220,Children's Home,Durham,Local Authority,North East,3
SC035239,Children's Home,Durham,Local Authority,North East,4
SC398947,Children's Home,Durham,Private,North East,6
SC475710,Children's Home,Durham,Private,North East,7
SC413987,Children's Home,East Riding of Yorkshire,Private,Yorkshire and The Humber,8
SC461240,Children's Home,Essex,Private,East of England,4
SC457139,Children's Home,Gateshead,Private,North East,2
SC016696,Children's Home,Gloucestershire,Private,South West,4
SC061878,Children's Home,Gloucestershire,Private,South West,4
SC064764,Children's Home,Worcestershire,Private,West Midlands,4
SC039215,Children's Home,Hampshire,Local Authority,South East,6
SC449307,Children's Home,Hampshire,Private,South East,7
SC403564,Children's Home,Haringey,Private,London,5
SC038906,Children's Home,Harrow,Private,London,8
SC030967,Children's Home,Hartlepool,Local Authority,North East,8
SC457068,Children's Home,Herefordshire,Private,West Midlands,3
SC065684,Children's Home,Kent,Private,South East,5
SC413085,Children's Home,Kent,Private,South East,3
SC448997,Children's Home,Kent,Private,South East,2
SC037309,Children's Home,Kent,Voluntary,South East,9
SC013402,Children's Home,Kingston upon Thames,Voluntary,London,12
SC461450,Children's Home,Kirklees,Private,Yorkshire and The Humber,3
SC034415,Children's Home,Kirklees,Voluntary,Yorkshire and The Humber,20
SC037670,Children's Home,Knowsley,Local Authority,North West,2
SC035450,Children's Home,Lancashire,Local Authority,North West,6
SC039248,Children's Home,Lancashire,Local Authority,North West,6
SC006014,Children's Home,Lancashire,Private,North West,3
SC009651,Children's Home,Lancashire,Private,North West,4
SC010087,Children's Home,Lancashire,Private,North West,4
SC050766,Children's Home,Lancashire,Private,North West,5
SC053145,Children's Home,Lancashire,Private,North West,3
SC060750,Children's Home,Lancashire,Private,North West,3
SC361129,Children's Home,Lancashire,Private,North West,3
SC362165,Children's Home,Lancashire,Private,North West,8
SC432741,Children's Home,Lancashire,Private,North West,5
SC463926,Children's Home,Lancashire,Private,North West,4
SC475697,Children's Home,Lancashire,Private,North West,7
SC449099,Children's Home,Leicestershire,Private,East Midlands,3
SC042950,Children's Home,Lincolnshire,Local Authority,East Midlands,6
SC042994,Children's Home,Lincolnshire,Local Authority,East Midlands,5
SC031763,Children's Home,Lincolnshire,Private,East Midlands,3
SC063683,Children's Home,Manchester,Local Authority,North West,6
SC066166,Children's Home,Medway Towns,Local Authority,South East,5
SC027255,Children's Home,Merton,Private,London,3
SC052599,Children's Home,Milton Keynes,Local Authority,South East,10
SC044058,Children's Home,Newham,Local Authority,London,6
SC036260,Children's Home,Derbyshire,Local Authority,East Midlands,5
SC441513,Children's Home,Derbyshire,Local Authority,East Midlands,6
SC414516,Children's Home,Derbyshire,Private,East Midlands,3
SC426751,Children's Home,Derbyshire,Private,East Midlands,5
SC362610,Children's Home,Devon,Private,South West,1
SC414575,Children's Home,Devon,Private,South West,5
SC463647,Children's Home,Devon,Private,South West,5
SC472465,Children's Home,Dudley,Private,West Midlands,5
SC035181,Children's Home,Durham,Local Authority,North East,6
SC065848,Children's Home,Durham,Local Authority,North East,4
SC457308,Children's Home,East Riding of Yorkshire,Private,Yorkshire and The Humber,5
SC068178,Children's Home,East Sussex,Local Authority,South East,4
SC465925,Children's Home,East Sussex,Private,South East,6
SC018039,Children's Home,Essex,Private,East of England,8
SC379104,Children's Home,Essex,Private,East of England,4
SC419393,Children's Home,Essex,Voluntary,East of England,9
SC386505,Children's Home,Halton,Private,North West,3
SC039216,Children's Home,Hampshire,Local Authority,South East,7
SC385809,Children's Home,Hampshire,Private,South East,3
SC056054,Children's Home,Hampshire,Voluntary,South East,4
SC466378,Children's Home,Havering,Private,London,5
SC470645,Children's Home,Hertfordshire,Private,East of England,4
SC032517,Children's Home,Hillingdon,Local Authority,London,6
SC067895,Children's Home,Kent,Private,South East,3
SC434517,Children's Home,Kent,Private,South East,4
SC385633,Children's Home,Kingston upon Hull,Private,Yorkshire and The Humber,5
SC413678,Children's Home,Kingston upon Hull,Private,Yorkshire and The Humber,2
SC033326,Children's Home,Kirklees,Local Authority,Yorkshire and The Humber,6
SC473375,Children's Home,Knowsley,Private,North West,2
SC022729,Children's Home,Lambeth,Private,London,3
SC044231,Children's Home,Lancashire,Private,North West,4
SC396201,Children's Home,Lancashire,Private,North West,4
SC402658,Children's Home,Lancashire,Private,North West,20
SC456271,Children's Home,Lancashire,Private,North West,4
SC456535,Children's Home,Lancashire,Private,North West,1
SC475680,Children's Home,Lancashire,Private,North West,8
SC481090,Children's Home,Lancashire,Private,North West,2
SC033638,Children's Home,Leeds,Local Authority,Yorkshire and The Humber,5
SC417795,Children's Home,Leeds,Private,Yorkshire and The Humber,4
SC456347,Children's Home,Lincolnshire,Private,East Midlands,3
SC379659,Children's Home,Liverpool,Local Authority,North West,5
SC044276,Children's Home,Liverpool,Private,North West,4
SC363228,Children's Home,Liverpool,Private,North West,2
SC410186,Children's Home,Solihull,Private,West Midlands,4
SC060758,Children's Home,Somerset,Private,South West,5
SC067218,Children's Home,Somerset,Private,South West,2
SC456961,Children's Home,Somerset,Private,South West,3
SC470290,Children's Home,Somerset,Private,South West,3
SC452713,Children's Home,South Gloucestershire,Private,South West,4
SC033152,Children's Home,North Lincolnshire,Local Authority,Yorkshire and The Humber,6
SC390209,Children's Home,North Somerset,Private,South West,6
SC430002,Children's Home,North Yorkshire,Private,Yorkshire and The Humber,6
SC444289,Children's Home,North Yorkshire,Private,Yorkshire and The Humber,4
SC396186,Children's Home,Northamptonshire,Private,East Midlands,5
SC450701,Children's Home,Northamptonshire,Private,East Midlands,5
SC467073,Children's Home,Northamptonshire,Private,East Midlands,3
SC066127,Children's Home,Northumberland,Private,North East,4
SC474894,Children's Home,Northumberland,Private,North East,3
SC431699,Children's Home,Nottingham City,Private,East Midlands,2
SC008810,Children's Home,Nottinghamshire,Private,East Midlands,3
SC047978,Children's Home,Nottinghamshire,Private,East Midlands,4
SC382994,Children's Home,Nottinghamshire,Private,East Midlands,5
SC454901,Children's Home,Nottinghamshire,Private,East Midlands,5
SC035492,Children's Home,Oldham,Local Authority,North West,5
SC013144,Children's Home,Oxfordshire,Voluntary,South East,6
SC061485,Children's Home,Peterborough,Private,East of England,3
SC458812,Children's Home,Plymouth,Private,South West,1
SC004085,Children's Home,Poole,Voluntary,South West,7
SC049189,Children's Home,Rochdale,Private,North West,3
SC416267,Children's Home,Rochdale,Private,North West,2
SC456418,Children's Home,Rochdale,Private,North West,1
SC473473,Children's Home,Rochdale,Private,North West,3
SC037521,Children's Home,Rotherham,Local Authority,Yorkshire and The Humber,9
SC040505,Children's Home,Salford,Local Authority,North West,6
SC065067,Children's Home,Salford,Local Authority,North West,5
SC412687,Children's Home,Salford,Private,North West,3
SC462804,Children's Home,Salford,Private,North West,2
SC066651,Children's Home,Sheffield,Local Authority,Yorkshire and The Humber,6
SC038802,Children's Home,Sheffield,Private,Yorkshire and The Humber,4
SC020610,Children's Home,Shropshire,Private,West Midlands,3
SC366112,Children's Home,Shropshire,Private,West Midlands,1
SC376719,Children's Home,Shropshire,Private,West Midlands,2
SC389830,Children's Home,Shropshire,Private,West Midlands,1
SC417360,Children's Home,Shropshire,Private,West Midlands,3
SC474050,Children's Home,Shropshire,Private,West Midlands,1
SC068145,Children's Home,Somerset,Private,South West,2
SC378200,Children's Home,Somerset,Private,South West,3
SC400212,Children's Home,Somerset,Private,South West,3
SC032701,Children's Home,South Tyneside,Local Authority,North East,9
SC389180,Children's Home,Southampton,Private,South East,6
SC031479,Children's Home,Southwark,Local Authority,London,5
SC035971,Children's Home,St. Helens,Local Authority,North West,4
SC022444,Children's Home,St. Helens,Private,North West,1
SC064573,Children's Home,St. Helens,Private,North West,1
SC406636,Children's Home,St. Helens,Private,North West,6
SC413223,Children's Home,St. Helens,Private,North West,1
SC375911,Children's Home,Staffordshire,Local Authority,West Midlands,6
SC444411,Children's Home,Liverpool,Voluntary,North West,1
SC042037,Children's Home,Manchester,Local Authority,North West,5
SC381339,Children's Home,Manchester,Private,North West,6
SC389649,Children's Home,Manchester,Private,North West,3
SC446325,Children's Home,Manchester,Private,North West,2
SC394909,Children's Home,Newcastle,Private,North East,6
SC033467,Children's Home,Newcastle,Voluntary,North East,8
SC034419,Children's Home,Norfolk,Local Authority,East of England,4
SC025720,Children's Home,Norfolk,Voluntary,East of England,4
SC400901,Children's Home,Norfolk,Voluntary,East of England,6
SC416733,Children's Home,Norfolk,Voluntary,East of England,3
SC367802,Children's Home,North East Lincolnshire,Local Authority,Yorkshire and The Humber,2
SC068243,Children's Home,North Tyneside,Local Authority,North East,6
SC034210,Children's Home,North Yorkshire,Local Authority,Yorkshire and The Humber,9
SC033817,Children's Home,Northamptonshire,Private,East Midlands,4
SC412125,Children's Home,Northamptonshire,Private,East Midlands,4
SC479281,Children's Home,Northumberland,Private,North East,2
SC000678,Children's Home,Northumberland,Private,North East,1
SC051739,Children's Home,Nottinghamshire,Private,East Midlands,3
SC381522,Children's Home,Nottinghamshire,Private,East Midlands,3
SC356817,Children's Home,Oldham,Private,North West,4
SC033392,Children's Home,Peterborough,Local Authority,East of England,8
SC448615,Children's Home,Plymouth,Local Authority,South West,8
SC062475,Children's Home,Rochdale,Private,North West,1
SC066560,Children's Home,Rochdale,Private,North West,2
SC372117,Children's Home,Rochdale,Private,North West,2
SC413156,Children's Home,Rochdale,Private,North West,2
SC416464,Children's Home,Rochdale,Private,North West,2
SC394283,Children's Home,Salford,Local Authority,North West,5
SC457013,Children's Home,Sandwell,Private,West Midlands,3
SC037181,Children's Home,Sefton,Private,North West,2
SC063673,Children's Home,Sefton,Private,North West,4
SC431192,Children's Home,Sefton,Private,North West,4
SC475689,Children's Home,Sefton,Private,North West,6
SC025395,Children's Home,Sefton,Voluntary,North West,25
SC036023,Children's Home,Sheffield,Local Authority,Yorkshire and The Humber,8
SC035816,Children's Home,Sheffield,Private,Yorkshire and The Humber,5
SC066010,Children's Home,Sheffield,Private,Yorkshire and The Humber,4
SC020611,Children's Home,Shropshire,Private,West Midlands,3
SC362094,Children's Home,Shropshire,Private,West Midlands,2
SC454647,Children's Home,Shropshire,Private,West Midlands,4
SC480318,Children's Home,Shropshire,Private,West Midlands,4
SC065055,Children's Home,Somerset,Private,South West,2
SC363350,Children's Home,Somerset,Private,South West,4
SC443079,Children's Home,Somerset,Private,South West,3
SC452009,Children's Home,Somerset,Private,South West,1
SC032697,Children's Home,South Tyneside,Local Authority,North East,6
SC029560,Children's Home,Southend on Sea,Private,East of England,6
SC052398,Children's Home,Southend on Sea,Voluntary,East of England,6
SC472449,Children's Home,North Lincolnshire,Local Authority,Yorkshire and The Humber,6
